Id,N_Victimas,Fecha_Siniestro,Hora,Lugar_Del_Hecho,Tipo_De_Calle,Comuna,Pos_X,Pos_Y,Victima,Acusado,Barrios,Rol,Sexo,Edad,Fecha_Fallecimiento,Semestre,Hora_Siniestro,Anio_Siniestro,Mes_Siniestro,Dia_Siniestro,Anio_Fallecimiento,Mes_Fallecimiento,Dia_Fallecimiento,Dia_Semana_Siniestro,Dia_Semana_Fallecimiento
2019-0049,1,2019-06-08,09:20:00,CIUDAD DE LA PAZ Y MENDOZA,CALLE,13,-58.45849057,-34.56166498,Peaton,Cargas,"['Núñez', 'Belgrano', 'Colegiales']",PEATON,FEMENINO,72,2019-06-09,1,9,2019,6,8,2019,6,9,sÃ¡bado,domingo
2019-0050,1,2019-06-08,23:35:00,"SALGUERO, JERONIMO Y HONDURAS AV.",AVENIDA,14,-58.41829559,-34.59411677,Moto,Cargas,['Palermo'],CONDUCTOR,MASCULINO,21,2019-06-09,1,23,2019,6,8,2019,6,9,sÃ¡bado,domingo
2019-0051,1,2019-06-11,10:00:00,"FILIBERTO, JUAN DE DIOS Y OLAVARRIA",CALLE,4,-58.36376488,-34.63832093,Moto,Auto,"['La Boca', 'Barracas', 'Parque Patricios', 'Nueva Pompeya']",CONDUCTOR,MASCULINO,41,2019-06-11,1,10,2019,6,11,2019,6,11,martes,martes
2019-0053,1,2019-06-14,17:20:00,ASTURIAS AV. Y CASTAÑARES AV.,AVENIDA,8,-58.46442668,-34.66004784,Auto,Auto,"['Villa Soldati', 'Villa Riachuelo', 'Villa Lugano']",PASAJERO_ACOMPAÑANTE,MASCULINO,49,2019-06-14,1,17,2019,6,14,2019,6,14,viernes,viernes
2019-0054,1,2019-06-20,03:00:00,GANDARA 2976,CALLE,15,-58.48222035,-34.58428769,Moto,Objeto Fijo,"['Chacarita', 'Villa Crespo', 'La Paternal', 'Villa Ortúzar', 'Agronomía', 'Parque Chas']",CONDUCTOR,MASCULINO,21,2019-06-20,1,3,2019,6,20,2019,6,20,jueves,jueves
2019-0055,1,2019-06-20,19:45:00,"GUEVARA, TRINIDAD Y MADERO, EDUARDO AV.",AVENIDA,1,-58.36819005,-34.60283208,Moto,Pasajeros,"['Retiro', 'San Nicolás', 'Puerto Madero', 'San Telmo', 'Montserrat', 'Constitución']",CONDUCTOR,MASCULINO,47,2019-06-21,1,19,2019,6,20,2019,6,21,jueves,viernes
2019-0056,1,2019-06-29,17:16:00,BOYACA AV. 305,AVENIDA,7,-58.45877601,-34.62330939,Peaton,Auto,"['Flores', 'Parque Chacabuco']",PEATON,FEMENINO,75,2019-06-29,1,17,2019,6,29,2019,6,29,sÃ¡bado,sÃ¡bado
2019-0057,1,2019-07-05,19:00:00,ARTILLEROS Y LA PAMPA,CALLE,13,-58.44196498,-34.55760517,Peaton,Auto,"['Núñez', 'Belgrano', 'Colegiales']",PEATON,FEMENINO,63,2019-07-08,2,19,2019,7,5,2019,7,8,viernes,lunes
2019-0058,1,2019-07-10,09:20:00,AUTOPISTA PERITO MORENO ALTURA PASO A NIVEL DE IRIGOYEN,AUTOPISTA,10,-58.50622631,-34.63627822,Moto,Pasajeros,"['Villa Real', 'Monte Castro', 'Versalles', 'Floresta', 'Vélez Sarsfield', 'Villa Luro']",CONDUCTOR,MASCULINO,39,2019-07-10,2,9,2019,7,10,2019,7,10,miÃ©rcoles,miÃ©rcoles
2019-0059,1,2019-07-13,22:35:00,15 DE NOVIEMBRE DE 1889 Y SANTIAGO DEL ESTERO,CALLE,1,-58.3841088,-34.63099197,Moto,Pasajeros,"['Retiro', 'San Nicolás', 'Puerto Madero', 'San Telmo', 'Montserrat', 'Constitución']",CONDUCTOR,MASCULINO,30,2019-07-13,2,22,2019,7,13,2019,7,13,sÃ¡bado,sÃ¡bado
